Elapsed Time (s),Ongoing Flows,RTT (ms),bw-core (mbit),bw-node (mbit),hops
17.718,2,5.846658797,500,200,4
17.818,0,0.187757364,500,200,4
17.92,0,1.059228591,500,200,4
18.021,1,2.825010463,500,200,4
18.121,0,0.796223495,500,200,4
18.222,0,0.114339676,500,200,4
18.322,1,3.968015053,500,200,4
18.423,6,6.694257101,500,200,4
18.524,3,7.08308093,500,200,4
18.625,2,2.362755386,500,200,4
18.725,1,3.549101584,500,200,4
18.826,2,3.509225602,500,200,4
18.928,0,1.475476666,500,200,4
19.028,8,7.179246142,500,200,4
19.129,7,6.802973027,500,200,4
19.23,6,10.48770474,500,200,4
19.331,3,8.339295832,500,200,4
19.432,4,4.165407341,500,200,4
19.533,5,8.209912527,500,200,4
19.634,5,8.644529373,500,200,4
19.735,5,8.915593185,500,200,4
19.835,1,10.01200686,500,200,4
19.936,1,1.1527377,500,200,4
20.037,1,4.018295419,500,200,4
